📺综合,#genre#
CCTV-1,http://114.95.156.205:4022/rtp/239.45.3.145:5140
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV-1,http://114.246.181.146:4022/rtp/239.3.1.129:8008
CCTV-1,http://112.255.69.58:6666/rtp/239.253.254.77:8000
CCTV-1,http://114.252.236.205:8000/rtp/239.3.1.129:8008
CCTV-1,http://114.240.224.31:3000/rtp/239.3.1.129:8008
CCTV-1,http://111.175.30.248:8848/rtp/239.254.96.96:8550
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV-1,http://183.66.15.138:4070/rtp/235.254.198.51:1480
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-1,http://49.79.3.119:8890/rtp/239.49.8.129:6000
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-2,http://114.95.156.205:4022/rtp/239.45.1.109:5140
CCTV-2,http://114.246.181.146:4022/rtp/239.3.1.60:8084
CCTV-2,http://112.255.69.58:6666/rtp/239.253.254.232:8000
CCTV-2,http://114.252.236.205:8000/rtp/239.3.1.60:8084
CCTV-2,http://114.240.224.31:3000/rtp/239.3.1.60:8084
CCTV-2,http://111.175.30.248:8848/rtp/239.69.1.102:10250
CCTV-2,http://nas.hssvm.com:8888/udp/225.1.1.133:5002
CCTV-2,http://183.66.15.138:4070/rtp/235.254.198.52:1484
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.192:11111
CCTV-2,http://49.79.3.119:8890/rtp/239.49.8.130:6000
CCTV-3,http://114.95.156.205:4022/rtp/239.45.1.68:5140
CCTV-3,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT
CCTV-3,http://114.246.181.146:4022/rtp/239.3.1.172:8001
CCTV-3,http://112.255.69.58:6666/rtp/239.253.254.191:8000
CCTV-3,http://114.252.236.205:8000/rtp/239.3.1.172:8001
CCTV-3,http://114.240.224.31:3000/rtp/239.3.1.172:8001
CCTV-3,http://111.175.30.248:8848/rtp/239.69.1.122:10370
CCTV-3,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-3,http://183.66.15.138:4070/rtp/235.254.198.141:1842
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-4,http://114.95.156.205:4022/rtp/239.45.0.2:5140
CCTV-4,https://tvpull.careryun.com/tv/cctv4.m3u8
CCTV-4,http://114.246.181.146:4022/rtp/239.3.1.105:8092
CCTV-4,http://112.255.69.58:6666/rtp/239.253.254.187:8000
CCTV-4,http://114.252.236.205:8000/rtp/239.3.1.105:8092
CCTV-4,http://114.240.224.31:3000/rtp/239.3.1.105:8092
CCTV-4,http://111.175.30.248:8848/rtp/239.69.1.138:10466
CCTV-4,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV-4,http://183.66.15.138:4070/rtp/235.254.198.183:7980
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.103:11111
CCTV-5,http://114.95.156.205:4022/rtp/239.45.1.69:5140
CCTV-5,http://114.246.181.146:4022/rtp/239.3.1.173:8001
CCTV-5,http://112.255.69.58:6666/rtp/239.253.254.192:8000
CCTV-5,http://114.252.236.205:8000/rtp/239.3.1.173:8001
CCTV-5,http://114.240.224.31:3000/rtp/239.3.1.173:8001
CCTV-5,http://111.175.30.248:8848/rtp/239.69.1.123:10376
CCTV-5,http://nas.hssvm.com:8888/udp/225.1.1.170:5002
CCTV-5,http://183.66.15.138:4070/rtp/235.254.198.142:1846
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.193:11111
CCTV-5,http://49.79.3.119:8890/rtp/239.49.9.32:6000
CCTV-5+,http://114.246.181.146:4022/rtp/239.3.1.130:8004
CCTV-5+,http://112.255.69.58:6666/rtp/239.253.254.80:8000
CCTV-5+,http://114.252.236.205:8000/rtp/239.3.1.130:8004
CCTV-5+,http://114.240.224.31:3000/rtp/239.3.1.130:8004
CCTV-5+,http://111.175.30.248:8848/rtp/239.69.1.12:9712
CCTV-5+,http://nas.hssvm.com:8888/udp/225.1.1.121:5002
CCTV-5+,http://183.66.15.138:4070/rtp/235.254.198.122:1764
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.25:11111
CCTV-5+,http://49.79.3.119:8890/rtp/239.49.8.137:6000
